year,month,decade,avg_temperature
2015,2,1,-4.425416666666666
2015,2,2,-2.991228070175439
2015,2,3,1.4322916666666667
2015,3,1,1.6192468619246863
2015,3,2,3.85625
2015,3,3,0.42916666666666664
2015,4,1,3.1370833333333334
2015,4,2,5.310416666666667
2015,4,3,9.757322175732218
2015,5,1,11.818333333333333
2015,5,2,12.311715481171548
2015,5,3,18.42689393939394
2015,6,1,17.47375
2015,6,2,17.74458333333333
2015,6,3,18.639166666666664
2015,7,1,19.965416666666666
2015,7,2,15.91125
2015,7,3,19.014772727272728
2015,8,1,19.50625
2015,8,2,16.44125
2015,8,3,16.826436781609196
2015,9,1,13.007499999999999
2015,9,2,13.591249999999999
2015,9,3,14.89625
2015,10,1,6.50625
2015,10,2,4.360256410256411
2015,10,3,2.4886363636363638
2015,11,1,3.29
2015,11,2,0.5650000000000001
2015,11,3,-1.4224999999999999
2015,12,1,1.795
2015,12,2,-0.7316455696202532
2015,12,3,-0.315909090909091
2016,1,1,-14.305000000000001
2016,1,2,-9.545
2016,1,3,-6.7681818181818185
2016,2,1,0.14750000000000002
2016,2,2,-1.185
2016,2,3,-0.8816901408450705
2016,3,1,1.1625
2016,3,2,-0.5925
2016,3,3,0.4397727272727273
2016,4,1,5.93375
2016,4,2,8.26625
2016,4,3,10.190000000000001
2016,5,1,14.571250000000001
2016,5,2,13.00625
2016,5,3,17.273863636363636
2016,6,1,13.575
2016,6,2,18.353749999999998
2016,6,3,22.62625
2016,7,1,19.29113924050633
2016,7,2,21.562025316455696
2016,7,3,21.90568181818182
2016,8,1,21.64875
2016,8,2,17.8825
2016,8,3,18.967045454545453
2016,9,1,14.5
2016,9,2,11.0075
2016,9,3,8.627500000000001
2016,10,1,9.73625
2016,10,2,3.065
2016,10,3,0.8465909090909091
2016,11,1,-1.92125
2016,11,2,-2.505
2016,11,3,-3.525
2016,12,1,-5.9725
2016,12,2,-7.62
2016,12,3,-0.6590909090909091
2017,1,1,-13.346250000000001
2017,1,2,-4.154999999999999
2017,1,3,-6.109090909090909
2017,2,1,-10.19875
2017,2,2,-2.125
2017,2,3,-0.6296875
2017,3,1,2.5349999999999997
2017,3,2,2.975
2017,3,3,1.6875
2017,4,1,5.6674999999999995
2017,4,2,2.7399999999999998
2017,4,3,7.516249999999999
2017,5,1,9.682500000000001
2017,5,2,9.129999999999999
2017,5,3,13.634090909090908
2017,6,1,12.405
2017,6,2,15.341249999999999
2017,6,3,15.59
2017,7,1,15.017500000000002
2017,7,2,18.46
2017,7,3,20.1375
2017,8,1,19.99375
2017,8,2,20.869999999999997
2017,8,3,15.936363636363637
2017,9,1,13.79125
2017,9,2,15.872499999999999
2017,9,3,9.32625
2017,10,1,7.28375
2017,10,2,7.08125
2017,10,3,1.1556818181818183
2017,11,1,1.2662499999999999
2017,11,2,2.085
2017,11,3,-3.22
2017,12,1,-1.215
2017,12,2,1.5325
2017,12,3,-0.32954545454545453
2018,1,1,-0.11374999999999999
2018,1,2,-6.805
2018,1,3,-5.913636363636363
2018,2,1,-7.90875
2018,2,2,-6.2375
2018,2,3,-14.1765625
2018,3,1,-8.97875
2018,3,2,-5.205
2018,3,3,-1.4568181818181818
2018,4,1,6.04125
2018,4,2,8.475
2018,4,3,8.92375
2018,5,1,15.8325
2018,5,2,16.8875
2018,5,3,15.867045454545455
2018,6,1,13.06625
2018,6,2,17.473750000000003
2018,6,3,21.405
2018,7,1,18.009999999999998
2018,7,2,22.0875
2018,7,3,21.226136363636364
2018,8,1,21.09375
2018,8,2,19.49875
2018,8,3,18.867045454545455
2018,9,1,17.835
2018,9,2,15.705000000000002
2018,9,3,10.348749999999999
2018,10,1,8.41
2018,10,2,10.7075
2018,10,3,3.285227272727273
2018,11,1,3.915
2018,11,2,-1.74875
2018,11,3,-4.00375
2018,12,1,-3.76875
2018,12,2,-6.00875
2018,12,3,-6.867045454545454
2019,1,1,-6.395
2019,1,2,-4.54625
2019,1,3,-8.767045454545455
2019,2,1,-1.57125
2019,2,2,-0.49375
2019,2,3,-2.45625
2019,3,1,-1.3475
2019,3,2,0.54
2019,3,3,2.565909090909091
2019,4,1,5.53875
2019,4,2,5.945
2019,4,3,12.86
2019,5,1,13.7375
2019,5,2,15.91
2019,5,3,18.977272727272727
2019,6,1,21.05625
2019,6,2,19.63125
2019,6,3,18.145
2019,7,1,16.205000000000002
2019,7,2,15.54625
2019,7,3,18.270454545454545
2019,8,1,14.173750000000002
2019,8,2,17.58125
2019,8,3,17.28409090909091
2019,9,1,17.5375
2019,9,2,12.684999999999999
2019,9,3,6.795
2019,10,1,7.907500000000001
2019,10,2,10.7975
2019,10,3,7.903409090909091
2019,11,1,4.76875
2019,11,2,3.9162500000000002
2019,11,3,-3.3549999999999995
2019,12,1,0.2468354430379747
2019,12,2,1.7475
2019,12,3,0.5227272727272727
